,mean,std,ev,synergy
BW,33.24818863730536,13.180654100951857,-2.262378428622405,-0.6575559532973898
BX,39.437537853728536,13.049793374210614,3.9269707878007694,-0.8986523559515973
BY,36.65674531155475,13.752185501448903,1.1461782456269844,0.3149115966695959
BZ,41.710984841334266,15.410428908235879,6.2004177754065,-0.2689936925416134
C?,57.10324630459361,25.987767798672696,21.592679238665845,1.3794540652625145
CC,31.664078056551176,15.664876125479788,-3.84648900937659,-5.455686538233728
CD,36.3140469990448,18.83819269810259,0.8034799331170319,-1.095253343252196
CE,38.97796838281517,20.195330949252188,3.467401316887404,0.7435523997591105
CF,34.65252503413291,14.631784436780862,-0.8580420317948594,-1.6989859399084537
CG,32.2625616989506,15.330788337391501,-3.248005366977168,-3.003614831581558
CH,40.82084413498559,18.60340697697765,5.310277069057825,2.068533601735318
CI,37.380953563777176,19.505128806137368,1.8703864978494096,1.041549572194441
CJ,34.93021127601162,12.827874602853111,-0.5803557899161476,-2.079123792433194
CK,38.47381639870833,16.645567921228174,2.9632493327805633,0.8953483511345368
CL,35.67441618225194,19.08525462450059,0.16384911632417243,-0.5434876045873764
CM,36.226949554680985,17.280287202345704,0.7163824887532186,-1.5709885583709422
CN,36.6069794237091,19.866608678599608,1.0964123577813325,-0.2885051888976946
CO,37.31654628031306,18.849899713401356,1.805979214385296,1.3078785530307968
CP,36.081686373656865,17.673818488930806,0.5711193077290986,-0.9442427455419846
CQ,32.971563542052614,12.889287621567872,-2.5390035238751523,-1.9185428390208017
CR,36.98586418228082,20.271475035280144,1.4752971163530546,-0.2771932292624726
CS,42.32713728289782,21.647793459527204,6.816570216970057,-0.31219850579199004
CT,36.36231490270093,19.692223105032458,0.8517478367731641,-0.44156918410592993
CU,34.44239461774254,17.12752094738526,-1.0681724481852228,0.45354616647172463
CV,32.43143651183678,14.980162749998554,-3.0791305540909875,-1.4549249572066572
CW,32.334748726337395,12.246237339964617,-3.1758183395903714,-2.765806523023194
CX,40.17579295761699,14.295009036426068,4.665225891689225,-1.3552079108209796
CY,37.096274651725956,15.18517359486829,1.5857075857981897,-0.4403697219170368
CZ,40.860490432530334,14.995743826669342,5.349923366602567,-2.3142987601033838
D?,57.259780912158284,25.21410153916081,21.749213846230518,1.246452925315097
DD,32.28281947008153,16.079970051124583,-3.227747595846239,-5.416016619727557
DE,40.587022625755544,20.55121518363869,5.076455559827778,2.063070895187394
DF,35.390934569341326,15.510522093292474,-0.1196324965864406,-1.2501121522121252
DG,34.151640269518566,17.074107905092493,-1.3589267964092002,-1.4040720085256808
DH,37.97122500461453,16.86904287334244,2.460657938686765,-1.0706212761478326
DI,37.4164630667633,19.238839780046295,1.9058960008355328,0.7875233276684739
DJ,36.1148625391642,13.110538309721079,0.6042954732364336,-1.184008276792703
DK,36.17749824643442,14.77396410554772,0.6669311805066513,-1.6905055486514655
DL,35.73153268244496,19.221141900736093,0.2209656165171907,-0.7759068519064485
DM,36.860953336054955,17.96021017449589,1.3503862701271885,-1.2265205245090627
DN,36.718130474641825,19.89952793012234,1.2075634087140585,-0.4668898854770589
DO,37.086758308038185,18.46935123480274,1.5761912421104185,0.788554833243829
DP,35.98658155596486,17.55461513414436,0.4760144900370946,-1.328883310746079
DQ,33.4763662813797,13.044964036112258,-2.0342007845480694,-1.7032758472058092
DR,37.19113128220488,20.417424590186016,1.6805642162771122,-0.36146187685050535
DS,42.023373214059504,21.365447422032606,6.512806148131737,-0.9054983221423996
DT,35.77569017039311,19.053874643226447,0.2651231044653457,-1.3177296639258387
DU,34.752566517513756,17.260482514310723,-0.7580005484140102,0.47418231873084693
DV,32.79749849211136,15.111186450668304,-2.7130685738164075,-1.3783987244441676
DW,35.074913922617604,15.438075188202072,-0.43565314331016225,-0.31517707425507524
DX,40.515754577394965,14.351667639324358,5.005187511467199,-1.3047820385550963
DY,37.25319372092098,15.071285502803377,1.7426266549932166,-0.5729864002341003
DZ,41.7370084523945,15.736763424213175,6.226441386466732,-1.7273164877513096
E?,59.374398871755425,25.703553769247343,23.863831805827658,2.535955244153172
EE,34.67021474087694,18.65144254610025,-0.8403523250508229,-4.678852630450272
EF,37.68071618661002,16.6931996438824,2.170149120682254,0.21455382429750358
EG,36.388442193725034,18.409643061673698,0.8778751277972674,0.007614274921721176
EH,40.0014747532644,17.973584213865426,4.49090768733663,0.1345128317429669
EI,37.03037058488048,20.189855859315088,1.5198035189527133,-0.42368479497341127
EJ,37.80556427345063,13.060617114166687,2.2949972075228615,-0.31842218326534066
EK,38.77997096164631,16.16955631880154,3.269403895718547,0.08685152580136446
EL,38.513121591070025,20.65104598387731,3.0025545251422585,1.1805664159595537
EM,39.47584119407225,19.11464713413398,3.965274128144486,0.5632516927491693
EN,38.87182586146825,20.849246719449333,3.3612587955404862,0.8616898605903032
EO,36.25064076971429,19.125860923362115,0.7400737037865213,-0.8726783458391338
EP,38.81877277838746,18.941179623392017,3.3082057124596957,0.6781922709174566
EQ,34.84036286491816,14.532836151239698,-0.6702042010096037,-1.164394904426409
ER,40.2705627320973,21.767272889990053,4.75999566616953,1.892853932282847
ES,45.63174240859903,22.738421841742117,10.121175342671265,1.8777552316380621
ET,39.10222771688193,20.998109364367366,3.591660650954161,1.1836922418039109
EU,34.426672514814506,17.956525543589905,-1.0838945511132607,-0.6768273247274692
EV,36.150188182081955,17.064293448987968,0.6396211161541885,1.1491753247673628
EW,36.38616709793163,15.48934372137474,0.8756000320038666,0.17096046029988798
EX,43.391919301525824,14.835235799017966,7.881352235598058,0.7462670448166975
EY,37.57080734499857,15.476548420650506,2.060240279070804,-1.0804884169155784
EZ,45.391783492494554,16.703362424164656,9.881216426566787,1.1023429115896803
F?,51.980215472818095,23.573552061438583,16.46964840689033,-2.975323145769458
FF,35.34012873814148,14.066976646251364,-0.17043832778628598,-0.243128615156337
FG,33.77684633487773,14.192297330356856,-1.7337207310500347,-0.7210765749108816
FH,36.11777807971894,13.293399021243037,0.6072110137911721,-1.866278832787792
FI,36.21003940666756,16.071668702929294,0.6994723407397956,0.6388890358283703
FJ,35.16696829018806,11.098719005205844,-0.3435987757397072,-1.0741131575132101
FK,36.23863404689093,12.576983077732624,0.7280669809631632,-0.57158037993932
FL,36.076542729813085,16.949768984493282,0.5659756638853182,0.6268925637173126
FM,34.93952556993222,14.137770054231368,-0.5710414959955443,-2.090158922376162
FN,34.8389330667639,15.847664478983551,-0.6716339991638662,-1.28829792509935
FO,35.73902614673833,14.847460074007875,0.2284590808105662,0.49861204019961036
FP,33.08844592981619,12.570447216177856,-2.4221211361115778,-3.1692295686391176
FQ,33.5815961937781,11.178550678848477,-1.9289708721496694,-0.5402565665517756
FR,36.710087860318666,17.495239428682233,1.1995207943908994,0.21528406951891554
FS,39.758354138018504,17.972336774472197,4.247787072090738,-2.1127280299277658
FT,35.24442309115782,16.098774614900915,-0.2661439747699461,-0.7912073749054969
FU,34.345069747222254,14.260133236928679,-1.165497318705512,1.1244749166949788
FV,31.678221384565237,11.285545760449464,-3.832345681362529,-1.4398864637346556
FW,33.91786942889422,12.48282564856122,-1.5926976370335453,-0.41443219972282463
FX,40.9008746648457,13.140893205944732,5.390307598917936,0.1381274171512743
FY,36.91043523654797,12.748753885215558,1.399868170620202,0.14204448364851885
FZ,41.78077630234934,13.757097630935364,6.270209236421572,-0.6257592695408363
G?,53.335778438968255,24.32498597832508,17.82521137304049,-0.5344257361100944
GG,29.961031130979517,14.161737378387034,-5.549535934948249,-3.451557335299892
GH,36.59912022760597,15.803557127769377,1.088553161678206,-0.299602241391554
GI,35.73101719629954,18.72618072996544,0.2204501303717734,1.2452012689695522
GJ,34.87005756524534,12.113221836691839,-0.6405095006824268,-0.2856894389467257
