,mean,std,count,ev,synergy,pct
Z,42.97603234412812,18.087766053344474,1814487,4.409808339499804,,5.932144929893935
??,60.58167090196836,36.17979227244195,165671,22.01544689734004,-9.455016582289886,0.5416320881221294
A?,57.3729748987226,29.340219305712733,1959223,18.806750894094286,1.981441998863943,6.405333731231795
AA,34.279922893003395,19.113682197789228,3380238,-4.2863011116249226,-6.466455422455681,11.051091417868971
AB,39.18798892869646,20.279271266150538,1639554,0.6217649240681453,1.1613662108039762,5.3602323678192905
AC,41.55961977000192,22.63223500593158,1879494,2.993395765373606,1.1900545084623388,6.144673840521355
AD,41.12710585649752,22.13085327086059,3387161,2.5608818518692047,0.7530013531966091,11.07372494423188
AE,41.06504871515316,23.235398041799385,8850121,2.4988247105248433,-0.4599191182361153,28.933908272199165
AF,37.71654481338579,17.64759040498967,1536137,-0.8496791912425294,-0.09421690816911621,5.022128742819585
AG,38.50260360893002,20.764317793476593,2652088,-0.06362039569829392,0.774087091460288,8.670533535281624
AH,41.26432245848088,19.954438879331516,1565845,2.698098453852566,0.48145279330454116,5.1192538043809455
AI,39.40487255966003,22.440020651237003,7259593,0.8386485550317104,-0.7199503039301689,23.733957756679164
AJ,38.27553740783867,13.737572654391013,771202,-0.2906865967896479,0.4964899977963526,2.5213087964940297
AK,39.82918414930725,17.408203058421552,757418,1.2629601446789351,0.3546913494320165,2.4762444418231735
AL,41.191910444962915,22.82647500303683,3637629,2.625686440334597,1.4235852522899108,11.892585854395842
AM,42.01222834861441,21.634566559642565,1718793,3.4460043439860897,1.7047675151575845,5.619290290030839
AN,41.28800760912799,22.902636705636144,5390368,2.72178360449967,0.7888835838646955,17.622856598841718
AO,37.49050103936186,20.80607869921506,5825690,-1.0757229652664577,-1.4305515251360177,19.046065029197674
AP,40.296220878677,20.922661513020156,1685921,1.7299968740486804,0.6607928291827747,5.511821089019493
AQ,36.31238945870713,15.674656822538259,1064082,-2.253834545921187,0.705723063960896,3.478828253545712
AR,42.07240464543256,23.559258229167078,5502437,3.5061806408042457,0.942877896566543,17.98924641047899
AS,44.88198440634052,24.802294173131656,4024841,6.315760401712204,0.5748142109874834,13.158507132748396
AT,41.566612961463505,23.165880836873747,5447641,3.000388956835188,1.0368677864462796,17.81010056177439
AU,35.69938794534495,19.76086429264719,3547559,-2.866836059283365,-1.1010476732014638,11.598117889711858
AV,36.57987892023106,18.483329310297233,1773046,-1.9863450843972572,0.690439609895499,5.796660896092792
